Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1045;tonircafetogo.com;0;0;991277;45;1469;0;0;0;20210615
1046;tonircafetogo.com;0;0;988142;49;1474;0;0;0;20210515
880;tonircafetogo.com;0;0;1095142;45;3031;0;0;0;20210415
1142;tonircafetogo.com;0;0;900525;45;2427;0;0;0;20210315
1196;tonircafetogo.com;0;0;878785;45;2425;0;0;0;20210215
1122;tonircafetogo.com;0;0;914642;47;2396;0;0;0;20210115
1075;tonircafetogo.com;0;0;932098;44;5938;0;0;0;20201215
991;tonircafetogo.com;0;0;973737;37;3124;0;0;0;20201115
1121;tonircafetogo.com;0;0;885815;28;1163;0;0;0;20201015
1185;tonircafetogo.com;0;0;840985;38;1025;0;0;0;20200915
1237;tonircafetogo.com;0;0;806941;30;906;0;0;0;20200815
1212;tonircafetogo.com;0;0;799704;27;920;0;0;0;20200715
1094;tonircafetogo.com;0;0;858219;29;851;0;0;0;20200615
1086;tonircafetogo.com;0;0;853695;34;1753;0;0;0;20200515
1094;tonircafetogo.com;0;0;836503;31;1013;0;0;0;20200415
1040;tonircafetogo.com;0;0;867463;36;1136;0;0;0;20200315
1032;tonircafetogo.com;0;0;857916;44;2117;0;0;0;20200215
1029;tonircafetogo.com;0;0;853758;47;2118;0;0;0;20200115
931;tonircafetogo.com;0;0;906695;34;2112;0;0;0;20191215
574;tonircafetogo.com;0;0;1191006;27;616;0;0;0;20191115
579;tonircafetogo.com;0;0;1161478;27;616;0;0;0;20191015
572;tonircafetogo.com;0;0;1154015;28;616;0;0;0;20190915
571;tonircafetogo.com;0;0;1153733;33;616;0;0;0;20190815
599;tonircafetogo.com;0;0;1139543;34;616;0;0;0;20190715
570;tonircafetogo.com;0;0;1165625;35;616;0;0;0;20190615
465;tonircafetogo.com;0;0;1157358;33;23;0;0;0;20190515
460;tonircafetogo.com;0;0;1162870;39;18;0;0;0;20190415
459;tonircafetogo.com;0;0;1175525;34;18;0;0;0;20190315
467;tonircafetogo.com;0;0;1157634;45;27;0;0;0;20190215
460;tonircafetogo.com;0;0;1182154;38;17;0;0;0;20190115
458;tonircafetogo.com;0;0;1185264;40;17;0;0;0;20181215
465;tonircafetogo.com;0;0;1180131;43;25;0;0;0;20181115
461;tonircafetogo.com;0;0;1198907;23;17;0;0;0;20181015
455;tonircafetogo.com;0;0;1219304;26;0;0;0;0;20180915
445;tonircafetogo.com;0;0;1247399;21;9;0;0;0;20180815
122;tonircafetogo.com;0;0;2706281;16;1;0;0;0;20180715
61;tonircafetogo.com;0;0;3844050;13;0;0;0;0;20180615
64;tonircafetogo.com;0;0;3751868;10;5;0;0;0;20180515
47;tonircafetogo.com;0;0;4416749;24;7;0;0;0;20180415
45;tonircafetogo.com;0;0;4520254;23;10;0;0;0;20180315
37;tonircafetogo.com;0;0;4715935;29;3;0;0;0;20180215
11;tonircafetogo.com;0;0;7433400;17;12;0;0;0;20180115
7;tonircafetogo.com;0;0;7827690;12;8;0;0;0;20171215
13;tonircafetogo.com;0;0;6489381;7;14;0;0;0;20171115
11;tonircafetogo.com;0;0;6676967;6;12;0;0;0;20171015
13;tonircafetogo.com;0;0;6419440;5;14;0;0;0;20170915
1;tonircafetogo.com;0;0;11557100;7;1;0;0;0;20170815
1;tonircafetogo.com;0;0;11055485;7;1;0;0;0;20170715
5;tonircafetogo.com;0;0;8394048;4;5;0;0;0;20170615
0;tonircafetogo.com;0;0;30110182;4;0;0;0;0;20170515
2;tonircafetogo.com;0;0;10915576;4;0;0;0;0;20170415
0;tonircafetogo.com;0;0;41903831;3;0;0;0;0;20170315
0;tonircafetogo.com;0;0;32555994;3;0;0;0;0;20170215
0;tonircafetogo.com;0;0;47877161;2;0;0;0;0;20170115
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20161215
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20161115
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20161015
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20160915
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20160815
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20160715
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20160615
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20160515
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20160415
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20160315
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20160215
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20160115
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20151215
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20151115
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20151015
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20150915
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20150815
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20150715
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20150615
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20150515
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20150415
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20150315
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20150215
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20150115
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20141215
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20141115
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20141015
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20140915
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20140815
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20140715
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20140615
0;tonircafetogo.com;0;0;0;0;0;0;0;0;20140515
