Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
1691;tonygemignani.com;0;0;707376;825;2233;0;0;0;20210615
1649;tonygemignani.com;0;0;718062;840;2162;0;0;0;20210515
1434;tonygemignani.com;0;0;780142;780;2149;0;0;0;20210415
1611;tonygemignani.com;0;0;705360;835;3052;0;0;0;20210315
1708;tonygemignani.com;0;0;681022;892;3172;0;0;0;20210215
1669;tonygemignani.com;0;0;688527;879;2602;0;0;0;20210115
1566;tonygemignani.com;0;0;712614;861;2291;0;0;0;20201215
1763;tonygemignani.com;0;0;644601;783;2433;0;0;0;20201115
1749;tonygemignani.com;0;0;642665;794;2161;0;0;0;20201015
1526;tonygemignani.com;0;0;700779;817;1894;0;0;0;20200915
1394;tonygemignani.com;0;0;741154;800;2302;0;0;0;20200815
1407;tonygemignani.com;0;0;718514;790;2287;0;0;0;20200715
1579;tonygemignani.com;0;0;659530;707;2568;0;0;0;20200615
1376;tonygemignani.com;0;0;720983;572;2126;0;0;0;20200515
998;tonygemignani.com;0;0;891806;308;1864;0;0;0;20200415
1120;tonygemignani.com;0;0;823683;389;847;0;0;0;20200315
1097;tonygemignani.com;0;0;822489;458;425;0;0;0;20200215
1422;tonygemignani.com;0;0;678557;683;605;0;0;0;20200115
1817;tonygemignani.com;0;0;564103;743;1043;0;0;0;20191215
1937;tonygemignani.com;0;0;516723;885;7299;0;0;0;20191115
2023;tonygemignani.com;0;0;489808;847;6999;0;0;0;20191015
1746;tonygemignani.com;0;0;535406;1063;6670;0;0;0;20190915
2311;tonygemignani.com;0;0;435124;1210;7508;0;0;0;20190815
1981;tonygemignani.com;0;0;494725;1274;7392;0;0;0;20190715
2466;tonygemignani.com;0;0;419821;1116;7953;0;0;0;20190615
2042;tonygemignani.com;0;0;426747;1087;3010;0;0;0;20190515
1668;tonygemignani.com;0;0;491285;972;2324;0;0;0;20190415
1815;tonygemignani.com;0;0;468539;833;2178;0;0;0;20190315
1556;tonygemignani.com;0;0;518251;718;1876;0;0;0;20190215
1647;tonygemignani.com;0;0;501045;738;1904;0;0;0;20190115
1729;tonygemignani.com;0;0;484859;743;2241;0;0;0;20181215
1559;tonygemignani.com;0;0;523294;727;1796;0;0;0;20181115
1801;tonygemignani.com;0;0;476042;663;2119;0;0;0;20181015
1489;tonygemignani.com;0;0;545551;636;1632;0;0;0;20180915
1173;tonygemignani.com;0;0;655151;649;1323;0;0;0;20180815
1069;tonygemignani.com;0;0;710321;470;1078;0;0;0;20180715
1014;tonygemignani.com;0;0;732513;470;1070;0;0;0;20180615
1237;tonygemignani.com;0;0;634316;478;1471;0;0;0;20180515
1607;tonygemignani.com;0;0;522450;510;2050;0;0;0;20180415
1133;tonygemignani.com;0;0;676604;589;1323;0;0;0;20180315
1393;tonygemignani.com;0;0;589697;792;1250;0;0;0;20180215
1834;tonygemignani.com;0;0;462690;671;1311;0;0;0;20180115
1700;tonygemignani.com;0;0;445821;633;1509;0;0;0;20171215
1543;tonygemignani.com;0;0;476382;620;827;0;0;0;20171115
1329;tonygemignani.com;0;0;529165;647;639;0;0;0;20171015
1621;tonygemignani.com;0;0;462769;822;957;0;0;0;20170915
1370;tonygemignani.com;0;0;528975;898;685;0;0;0;20170815
1619;tonygemignani.com;0;0;442755;904;850;0;0;0;20170715
1888;tonygemignani.com;0;0;431265;909;1431;0;0;0;20170615
1946;tonygemignani.com;0;0;458117;936;1777;0;0;0;20170515
5660;tonygemignani.com;0;0;231109;955;5096;0;0;0;20170415
1810;tonygemignani.com;0;0;455727;1016;1689;0;0;0;20170315
1838;tonygemignani.com;0;0;454532;1066;1840;0;0;0;20170215
1948;tonygemignani.com;0;0;438115;1023;2125;0;0;0;20170115
1805;tonygemignani.com;0;0;458140;868;1620;0;0;0;20161215
1668;tonygemignani.com;0;0;378533;644;1629;0;0;0;20161115
1785;tonygemignani.com;0;0;357365;664;1918;0;0;0;20161015
1675;tonygemignani.com;0;0;373358;699;1773;0;0;0;20160915
1774;tonygemignani.com;0;0;360567;743;1703;0;0;0;20160815
1862;tonygemignani.com;0;0;347035;808;1971;0;0;0;20160715
1927;tonygemignani.com;0;0;338710;852;1745;0;0;0;20160615
1897;tonygemignani.com;0;0;341595;873;1979;0;0;0;20160515
1880;tonygemignani.com;0;0;335892;965;1875;0;0;0;20160415
1792;tonygemignani.com;0;0;339729;977;1383;0;0;0;20160315
1714;tonygemignani.com;0;0;349830;1002;1110;0;0;0;20160215
1758;tonygemignani.com;0;0;342522;1052;1146;0;0;0;20160115
1450;tonygemignani.com;0;0;396290;1086;675;0;0;0;20151215
1510;tonygemignani.com;0;0;388274;1056;927;0;0;0;20151115
1232;tonygemignani.com;0;0;431157;1104;444;0;0;0;20151015
1127;tonygemignani.com;0;0;437127;73;327;0;0;0;20150915
1050;tonygemignani.com;0;0;463405;71;247;0;0;0;20150815
1286;tonygemignani.com;0;0;397928;74;435;0;0;0;20150715
1096;tonygemignani.com;0;0;440612;59;293;0;0;0;20150615
795;tonygemignani.com;0;0;519656;50;81;0;0;0;20150515
728;tonygemignani.com;0;0;545195;34;58;0;0;0;20150415
638;tonygemignani.com;0;0;583870;27;41;0;0;0;20150315
617;tonygemignani.com;0;0;601498;29;27;0;0;0;20150215
608;tonygemignani.com;0;0;606848;24;30;0;0;0;20150115
618;tonygemignani.com;0;0;598324;27;30;0;0;0;20141215
577;tonygemignani.com;0;0;675340;27;35;0;0;0;20141115
540;tonygemignani.com;0;0;710876;22;43;0;0;0;20141015
453;tonygemignani.com;0;0;808277;15;55;0;0;0;20140915
432;tonygemignani.com;0;0;836696;11;44;0;0;0;20140815
70;tonygemignani.com;0;0;1674888;7;2;0;0;0;20140715
62;tonygemignani.com;0;0;1787355;7;2;0;0;0;20140615
58;tonygemignani.com;0;0;1843654;7;0;0;0;0;20140515
63;tonygemignani.com;0;0;1786493;6;0;0;0;0;20140415
15;tonygemignani.com;0;0;3167994;4;0;0;0;0;20140315
12;tonygemignani.com;0;0;3271175;2;0;0;0;0;20140215
12;tonygemignani.com;0;0;3354090;2;0;0;0;0;20140115
12;tonygemignani.com;0;0;3319154;2;0;0;0;0;20131215
11;tonygemignani.com;0;0;3295419;2;0;0;0;0;20131115
4;tonygemignani.com;0;0;4085203;2;0;0;0;0;20131015
4;tonygemignani.com;0;0;4000976;2;0;0;0;0;20130915
3;tonygemignani.com;0;0;4518022;2;0;0;0;0;20130815
3;tonygemignani.com;0;0;4365291;2;0;0;0;0;20130715
1;tonygemignani.com;0;0;5261944;2;0;0;0;0;20130615
1;tonygemignani.com;0;0;5626200;2;0;0;0;0;20130515
1;tonygemignani.com;0;0;6340532;1;0;0;0;0;20130415
0;tonygemignani.com;0;0;8178170;1;0;0;0;0;20130315
0;tonygemignani.com;0;0;11486492;2;0;0;0;0;20130215
0;tonygemignani.com;0;0;8964142;1;0;0;0;0;20130115
0;tonygemignani.com;0;0;6956237;1;0;0;0;0;20121215
0;tonygemignani.com;0;0;8095134;1;0;0;0;0;20121115
0;tonygemignani.com;0;0;9778553;1;0;0;0;0;20121015
0;tonygemignani.com;0;0;7821059;1;0;0;0;0;20120915
0;tonygemignani.com;0;0;12621574;1;0;0;0;0;20120815
33;tonygemignani.com;0;0;2411353;1;3;0;0;0;20120715
33;tonygemignani.com;0;0;2423345;1;3;0;0;0;20120615
16;tonygemignani.com;0;0;3688106;2;9;0;0;0;20120515
16;tonygemignani.com;0;0;3753411;2;9;0;0;0;20120415
16;tonygemignani.com;0;0;3653543;1;7;0;0;0;20120315
16;tonygemignani.com;0;0;3518354;1;7;0;0;0;20120215
16;tonygemignani.com;0;0;3468319;1;7;0;0;0;20120115
