Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
15;osos.ca;0;0;9091459;55;0;0;0;0;20210615
13;osos.ca;0;0;9546336;51;0;0;0;0;20210515
16;osos.ca;0;0;8873732;65;1;0;0;0;20210415
8;osos.ca;0;0;10577154;69;0;0;0;0;20210315
4;osos.ca;0;0;12640616;65;0;0;0;0;20210215
5;osos.ca;0;0;12008367;64;0;0;0;0;20210115
54;osos.ca;0;0;5412943;71;2;0;0;0;20201215
17;osos.ca;0;0;8732857;50;1;0;0;0;20201115
23;osos.ca;0;0;7997514;49;1;0;0;0;20201015
18;osos.ca;0;0;8595520;56;1;0;0;0;20200915
19;osos.ca;0;0;8358695;50;0;0;0;0;20200815
15;osos.ca;0;0;8961784;53;0;0;0;0;20200715
18;osos.ca;0;0;8275952;56;0;0;0;0;20200615
19;osos.ca;0;0;7978195;66;5;0;0;0;20200515
19;osos.ca;0;0;7877771;66;1;0;0;0;20200415
16;osos.ca;0;0;8440050;63;3;0;0;0;20200315
37;osos.ca;0;0;6041749;64;1;0;0;0;20200215
15;osos.ca;0;0;8493681;46;1;0;0;0;20200115
15;osos.ca;0;0;8667726;42;1;0;0;0;20191215
15;osos.ca;0;0;8296803;54;1;0;0;0;20191115
16;osos.ca;0;0;7982884;61;1;0;0;0;20191015
14;osos.ca;0;0;8204527;50;1;0;0;0;20190915
12;osos.ca;0;0;8841624;50;1;0;0;0;20190815
7;osos.ca;0;0;10642186;46;1;0;0;0;20190715
7;osos.ca;0;0;10027158;39;1;0;0;0;20190615
11;osos.ca;0;0;7066057;44;2;0;0;0;20190515
12;osos.ca;0;0;6915692;46;0;0;0;0;20190415
15;osos.ca;0;0;6461922;64;2;0;0;0;20190315
14;osos.ca;0;0;6671619;65;1;0;0;0;20190215
11;osos.ca;0;0;7276551;52;1;0;0;0;20190115
6;osos.ca;0;0;8706949;45;0;0;0;0;20181215
6;osos.ca;0;0;8572168;42;1;0;0;0;20181115
4;osos.ca;0;0;10193738;39;0;0;0;0;20181015
0;osos.ca;0;0;37404548;40;0;0;0;0;20180915
2;osos.ca;0;0;11489236;36;0;0;0;0;20180815
1;osos.ca;0;0;12965359;12;0;0;0;0;20180715
1;osos.ca;0;0;13795246;11;0;0;0;0;20180615
0;osos.ca;0;0;55451193;9;0;0;0;0;20180515
0;osos.ca;0;0;22168943;10;0;0;0;0;20180415
0;osos.ca;0;0;55495353;7;0;0;0;0;20180315
0;osos.ca;0;0;44691482;3;0;0;0;0;20180215
0;osos.ca;0;0;0;0;0;0;0;0;20180115
0;osos.ca;0;0;0;0;0;0;0;0;20171215
0;osos.ca;0;0;0;0;0;0;0;0;20171115
0;osos.ca;0;0;0;0;0;0;0;0;20171015
0;osos.ca;0;0;0;0;0;0;0;0;20170915
0;osos.ca;0;0;0;0;0;0;0;0;20170815
0;osos.ca;0;0;0;0;0;0;0;0;20170715
0;osos.ca;0;0;0;0;0;0;0;0;20170615
0;osos.ca;0;0;0;0;0;0;0;0;20170515
0;osos.ca;0;0;0;0;0;0;0;0;20170415
0;osos.ca;0;0;0;0;0;0;0;0;20170315
0;osos.ca;0;0;0;0;0;0;0;0;20170215
0;osos.ca;0;0;0;0;0;0;0;0;20170115
0;osos.ca;0;0;0;0;0;0;0;0;20161215
0;osos.ca;0;0;0;0;0;0;0;0;20161115
0;osos.ca;0;0;0;0;0;0;0;0;20161015
0;osos.ca;0;0;0;0;0;0;0;0;20160915
0;osos.ca;0;0;0;0;0;0;0;0;20160815
0;osos.ca;0;0;0;0;0;0;0;0;20160715
0;osos.ca;0;0;0;0;0;0;0;0;20160615
0;osos.ca;0;0;0;0;0;0;0;0;20160515
0;osos.ca;0;0;0;0;0;0;0;0;20160415
0;osos.ca;0;0;0;0;0;0;0;0;20160315
0;osos.ca;0;0;0;0;0;0;0;0;20160215
0;osos.ca;0;0;0;0;0;0;0;0;20160115
0;osos.ca;0;0;0;0;0;0;0;0;20151215
0;osos.ca;0;0;0;0;0;0;0;0;20151115
0;osos.ca;0;0;0;0;0;0;0;0;20151015
0;osos.ca;0;0;0;0;0;0;0;0;20150915
0;osos.ca;0;0;0;0;0;0;0;0;20150815
0;osos.ca;0;0;0;0;0;0;0;0;20150715
0;osos.ca;0;0;0;0;0;0;0;0;20150615
0;osos.ca;0;0;0;0;0;0;0;0;20150515
0;osos.ca;0;0;0;0;0;0;0;0;20150415
0;osos.ca;0;0;0;0;0;0;0;0;20150315
0;osos.ca;0;0;0;0;0;0;0;0;20150215
0;osos.ca;0;0;0;0;0;0;0;0;20150115
0;osos.ca;0;0;0;0;0;0;0;0;20141215
0;osos.ca;0;0;0;0;0;0;0;0;20141115
0;osos.ca;0;0;0;0;0;0;0;0;20141015
0;osos.ca;0;0;0;0;0;0;0;0;20140915
0;osos.ca;0;0;0;0;0;0;0;0;20140815
0;osos.ca;0;0;0;0;0;0;0;0;20140715
0;osos.ca;0;0;0;0;0;0;0;0;20140615
0;osos.ca;0;0;0;0;0;0;0;0;20140515
0;osos.ca;0;0;0;0;0;0;0;0;20140415
0;osos.ca;0;0;0;0;0;0;0;0;20140315
0;osos.ca;0;0;0;0;0;0;0;0;20140215
0;osos.ca;0;0;0;0;0;0;0;0;20140115
0;osos.ca;0;0;0;0;0;0;0;0;20131215
0;osos.ca;0;0;0;0;0;0;0;0;20131115
0;osos.ca;0;0;0;0;0;0;0;0;20131015
0;osos.ca;0;0;0;0;0;0;0;0;20130915
0;osos.ca;0;0;0;0;0;0;0;0;20130815
0;osos.ca;0;0;0;0;0;0;0;0;20130715
0;osos.ca;0;0;0;0;0;0;0;0;20130615
0;osos.ca;0;0;0;0;0;0;0;0;20130515
0;osos.ca;0;0;0;0;0;0;0;0;20130415
0;osos.ca;0;0;0;0;0;0;0;0;20130315
0;osos.ca;0;0;0;0;0;0;0;0;20130215
0;osos.ca;0;0;0;0;0;0;0;0;20130115
0;osos.ca;0;0;0;0;0;0;0;0;20121215
0;osos.ca;0;0;0;0;0;0;0;0;20121115
0;osos.ca;0;0;0;0;0;0;0;0;20121015
0;osos.ca;0;0;0;0;0;0;0;0;20120915
0;osos.ca;0;0;0;0;0;0;0;0;20120815
0;osos.ca;0;0;0;0;0;0;0;0;20120715
0;osos.ca;0;0;0;0;0;0;0;0;20120615
0;osos.ca;0;0;0;0;0;0;0;0;20120515
0;osos.ca;0;0;0;0;0;0;0;0;20120415
0;osos.ca;0;0;0;0;0;0;0;0;20120315
0;osos.ca;0;0;0;0;0;0;0;0;20120215
0;osos.ca;0;0;0;0;0;0;0;0;20120115
