Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
552;hakunabrands.com;0;0;1508742;31;2188;0;0;0;20210615
752;hakunabrands.com;0;0;1234409;68;2775;0;0;0;20210515
1181;hakunabrands.com;0;0;894454;299;3444;0;0;0;20210415
1148;hakunabrands.com;0;0;897359;296;640;0;0;0;20210315
1019;hakunabrands.com;0;0;983000;319;589;0;0;0;20210215
1289;hakunabrands.com;0;0;829701;373;2357;0;0;0;20210115
1050;hakunabrands.com;0;0;947202;350;1781;0;0;0;20201215
1018;hakunabrands.com;0;0;955668;272;1698;0;0;0;20201115
955;hakunabrands.com;0;0;991209;250;979;0;0;0;20201015
849;hakunabrands.com;0;0;1061437;209;845;0;0;0;20200915
851;hakunabrands.com;0;0;1048590;185;69;0;0;0;20200815
901;hakunabrands.com;0;0;985714;181;50;0;0;0;20200715
834;hakunabrands.com;0;0;1037430;100;9;0;0;0;20200615
807;hakunabrands.com;0;0;1049528;111;4;0;0;0;20200515
825;hakunabrands.com;0;0;1017293;115;10;0;0;0;20200415
818;hakunabrands.com;0;0;1025775;104;62;0;0;0;20200315
919;hakunabrands.com;0;0;930230;114;403;0;0;0;20200215
532;hakunabrands.com;0;0;1331164;51;77;0;0;0;20200115
530;hakunabrands.com;0;0;1322122;42;77;0;0;0;20191215
40;hakunabrands.com;0;0;5416892;35;26;0;0;0;20191115
5;hakunabrands.com;0;0;11417087;17;2;0;0;0;20191015
15;hakunabrands.com;0;0;8079272;25;2;0;0;0;20190915
2;hakunabrands.com;0;0;14592009;20;1;0;0;0;20190815
1;hakunabrands.com;0;0;17848704;9;0;0;0;0;20190715
0;hakunabrands.com;0;0;22688170;5;0;0;0;0;20190615
0;hakunabrands.com;0;0;0;0;0;0;0;0;20190515
0;hakunabrands.com;0;0;0;0;0;0;0;0;20190415
0;hakunabrands.com;0;0;0;0;0;0;0;0;20190315
0;hakunabrands.com;0;0;0;0;0;0;0;0;20190215
0;hakunabrands.com;0;0;0;0;0;0;0;0;20190115
0;hakunabrands.com;0;0;0;0;0;0;0;0;20181215
0;hakunabrands.com;0;0;0;0;0;0;0;0;20181115
0;hakunabrands.com;0;0;0;0;0;0;0;0;20181015
0;hakunabrands.com;0;0;0;0;0;0;0;0;20180915
0;hakunabrands.com;0;0;0;0;0;0;0;0;20180815
