Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
6583;tropicalfoods.com;0;0;252284;3063;4475;0;0;0;20210615
7336;tropicalfoods.com;0;0;230923;3272;7119;0;0;0;20210515
7967;tropicalfoods.com;0;0;212816;3149;12913;0;0;0;20210415
7527;tropicalfoods.com;0;0;217892;3320;13541;0;0;0;20210315
9237;tropicalfoods.com;0;0;184337;3420;15375;0;0;0;20210215
7663;tropicalfoods.com;0;0;212755;3622;8375;0;0;0;20210115
5811;tropicalfoods.com;0;0;261732;3598;5255;0;0;0;20201215
8935;tropicalfoods.com;0;0;183476;3319;16754;0;0;0;20201115
5531;tropicalfoods.com;0;0;266771;3372;3285;0;0;0;20201015
10396;tropicalfoods.com;0;0;159564;3583;17996;0;0;0;20200915
10348;tropicalfoods.com;0;0;160005;3649;12100;0;0;0;20200815
10105;tropicalfoods.com;0;0;158484;3700;11220;0;0;0;20200715
8478;tropicalfoods.com;0;0;182250;3935;8931;0;0;0;20200615
8439;tropicalfoods.com;0;0;181756;3948;13816;0;0;0;20200515
7003;tropicalfoods.com;0;0;210403;3736;4843;0;0;0;20200415
11776;tropicalfoods.com;0;0;139506;3823;12292;0;0;0;20200315
9727;tropicalfoods.com;0;0;161095;4171;15562;0;0;0;20200215
8426;tropicalfoods.com;0;0;177543;5404;15636;0;0;0;20200115
9424;tropicalfoods.com;0;0;162464;5845;16643;0;0;0;20191215
10057;tropicalfoods.com;0;0;150119;5648;18520;0;0;0;20191115
7938;tropicalfoods.com;0;0;175487;5654;5971;0;0;0;20191015
7885;tropicalfoods.com;0;0;173077;5797;5898;0;0;0;20190915
8132;tropicalfoods.com;0;0;168333;5904;6045;0;0;0;20190815
8242;tropicalfoods.com;0;0;168456;5835;6212;0;0;0;20190715
7164;tropicalfoods.com;0;0;187755;5541;5610;0;0;0;20190615
5442;tropicalfoods.com;0;0;207262;5327;4932;0;0;0;20190515
5791;tropicalfoods.com;0;0;197332;5358;5005;0;0;0;20190415
6122;tropicalfoods.com;0;0;190954;5505;5180;0;0;0;20190315
6003;tropicalfoods.com;0;0;191888;5227;5359;0;0;0;20190215
5015;tropicalfoods.com;0;0;220912;5263;4276;0;0;0;20190115
5652;tropicalfoods.com;0;0;201983;5489;4907;0;0;0;20181215
5399;tropicalfoods.com;0;0;209260;5808;5037;0;0;0;20181115
3873;tropicalfoods.com;0;0;270641;6081;3622;0;0;0;20181015
6280;tropicalfoods.com;0;0;185148;6024;8206;0;0;0;20180915
5850;tropicalfoods.com;0;0;199528;5329;5054;0;0;0;20180815
2982;tropicalfoods.com;0;0;335985;3371;3104;0;0;0;20180715
2685;tropicalfoods.com;0;0;361880;3801;2758;0;0;0;20180615
3071;tropicalfoods.com;0;0;326112;3492;2982;0;0;0;20180515
2867;tropicalfoods.com;0;0;340219;3436;2900;0;0;0;20180415
2688;tropicalfoods.com;0;0;359021;3454;2823;0;0;0;20180315
3161;tropicalfoods.com;0;0;324752;3244;3127;0;0;0;20180215
2710;tropicalfoods.com;0;0;352891;2628;1844;0;0;0;20180115
3094;tropicalfoods.com;0;0;288895;2408;2012;0;0;0;20171215
2878;tropicalfoods.com;0;0;305278;2269;1884;0;0;0;20171115
2788;tropicalfoods.com;0;0;312921;2167;1885;0;0;0;20171015
2602;tropicalfoods.com;0;0;330433;2292;1872;0;0;0;20170915
2670;tropicalfoods.com;0;0;328833;2511;1861;0;0;0;20170815
2546;tropicalfoods.com;0;0;316787;2547;1987;0;0;0;20170715
3335;tropicalfoods.com;2;1;285099;2559;3269;1;2;1;20170615
3322;tropicalfoods.com;25;5;313544;2595;3257;5;25;15;20170515
5132;tropicalfoods.com;8;5;249886;2657;3892;5;8;3;20170415
4028;tropicalfoods.com;6;2;252927;3608;4083;2;6;17;20170315
4143;tropicalfoods.com;310;1;248609;3581;4112;1;310;601;20170215
4367;tropicalfoods.com;75;2;238945;3755;4329;2;75;173;20170115
3197;tropicalfoods.com;218;11;299287;3373;3113;11;218;373;20161215
2415;tropicalfoods.com;6;4;288319;2567;2662;4;6;5;20161115
2544;tropicalfoods.com;7;6;276783;2647;3162;6;7;12;20161015
2281;tropicalfoods.com;7;10;297815;2381;2616;10;7;6;20160915
2993;tropicalfoods.com;40;14;245557;2412;3806;14;40;51;20160815
3059;tropicalfoods.com;36;6;240852;2358;3888;6;36;47;20160715
2462;tropicalfoods.com;0;5;283210;2328;2715;5;0;0;20160615
2466;tropicalfoods.com;0;26;281907;2393;2731;26;0;0;20160515
2296;tropicalfoods.com;0;26;290322;2622;1617;26;0;0;20160415
2310;tropicalfoods.com;0;26;282127;2715;1648;26;0;0;20160315
