Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
399;prproducts.com;0;0;1844248;154;195;0;0;0;20210615
489;prproducts.com;0;0;1622918;128;222;0;0;0;20210515
485;prproducts.com;0;0;1611143;125;307;0;0;0;20210415
279;prproducts.com;0;0;2217157;88;174;0;0;0;20210315
233;prproducts.com;0;0;2470061;71;153;0;0;0;20210215
84;prproducts.com;0;0;4268752;75;31;0;0;0;20210115
87;prproducts.com;0;0;4175583;93;21;0;0;0;20201215
240;prproducts.com;0;0;2396181;162;85;0;0;0;20201115
257;prproducts.com;0;0;2292398;163;77;0;0;0;20201015
352;prproducts.com;0;0;1875098;151;77;0;0;0;20200915
507;prproducts.com;0;0;1477073;150;69;0;0;0;20200815
450;prproducts.com;0;0;1564863;149;19;0;0;0;20200715
185;prproducts.com;0;0;2661514;129;19;0;0;0;20200615
362;prproducts.com;0;0;1766862;163;11;0;0;0;20200515
402;prproducts.com;0;0;1627019;216;53;0;0;0;20200415
502;prproducts.com;0;0;1418697;205;178;0;0;0;20200315
332;prproducts.com;0;0;1811236;223;53;0;0;0;20200215
249;prproducts.com;0;0;2134355;177;37;0;0;0;20200115
385;prproducts.com;0;0;1622668;153;86;0;0;0;20191215
261;prproducts.com;0;0;1943701;138;35;0;0;0;20191115
202;prproducts.com;0;0;2216600;146;25;0;0;0;20191015
216;prproducts.com;0;0;2103637;158;27;0;0;0;20190915
234;prproducts.com;0;0;2011107;162;33;0;0;0;20190815
299;prproducts.com;0;0;1772734;175;47;0;0;0;20190715
265;prproducts.com;0;0;1880970;160;41;0;0;0;20190615
178;prproducts.com;0;0;2030870;103;31;0;0;0;20190515
217;prproducts.com;0;0;1817924;96;47;0;0;0;20190415
203;prproducts.com;0;0;1893780;103;43;0;0;0;20190315
128;prproducts.com;0;0;2443673;85;20;0;0;0;20190215
128;prproducts.com;0;0;2469071;81;17;0;0;0;20190115
146;prproducts.com;0;0;2304579;75;22;0;0;0;20181215
183;prproducts.com;0;0;2047370;82;43;0;0;0;20181115
292;prproducts.com;0;0;1584486;105;72;0;0;0;20181015
303;prproducts.com;0;0;1564635;124;74;0;0;0;20180915
257;prproducts.com;0;0;1741711;132;65;0;0;0;20180815
228;prproducts.com;0;0;1909449;132;48;0;0;0;20180715
270;prproducts.com;0;0;1721533;124;59;0;0;0;20180615
250;prproducts.com;0;0;1799535;126;49;0;0;0;20180515
216;prproducts.com;0;0;1970557;135;54;0;0;0;20180415
245;prproducts.com;0;0;1839355;147;58;0;0;0;20180315
176;prproducts.com;0;0;2176404;98;32;0;0;0;20180215
125;prproducts.com;0;0;2539877;63;22;0;0;0;20180115
71;prproducts.com;0;0;3218734;57;14;0;0;0;20171215
105;prproducts.com;0;0;2582964;65;20;0;0;0;20171115
102;prproducts.com;0;0;2599636;75;19;0;0;0;20171015
154;prproducts.com;0;0;2105318;101;32;0;0;0;20170915
142;prproducts.com;0;0;2227028;92;28;0;0;0;20170815
143;prproducts.com;0;0;2156778;100;29;0;0;0;20170715
248;prproducts.com;0;0;1662899;117;48;0;0;0;20170615
253;prproducts.com;0;0;1744879;116;46;0;0;0;20170515
268;prproducts.com;0;0;1762182;120;49;0;0;0;20170415
200;prproducts.com;0;0;1915728;155;32;0;0;0;20170315
322;prproducts.com;0;0;1495448;196;62;0;0;0;20170215
245;prproducts.com;0;0;1785131;224;34;0;0;0;20170115
216;prproducts.com;0;0;1907756;164;22;0;0;0;20161215
128;prproducts.com;0;0;1881750;116;12;0;0;0;20161115
135;prproducts.com;0;0;1742887;104;22;0;0;0;20161015
119;prproducts.com;0;0;1862614;104;9;0;0;0;20160915
238;prproducts.com;0;0;1308196;102;34;0;0;0;20160815
215;prproducts.com;0;0;1378615;105;32;0;0;0;20160715
214;prproducts.com;0;0;1393090;103;32;0;0;0;20160615
239;prproducts.com;0;0;1309252;108;34;0;0;0;20160515
131;prproducts.com;0;0;1753271;113;6;0;0;0;20160415
132;prproducts.com;0;0;1730274;118;6;0;0;0;20160315
132;prproducts.com;0;0;1716686;119;6;0;0;0;20160215
131;prproducts.com;0;0;1725769;125;6;0;0;0;20160115
