Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
30;azgranata.az;0;0;7242507;14;0;0;0;0;20210615
31;azgranata.az;0;0;7137934;15;0;0;0;0;20210515
32;azgranata.az;0;0;6884836;20;0;0;0;0;20210415
34;azgranata.az;0;0;6634402;18;0;0;0;0;20210315
34;azgranata.az;0;0;6690680;18;0;0;0;0;20210215
34;azgranata.az;0;0;6742876;17;0;0;0;0;20210115
30;azgranata.az;0;0;7115448;17;0;0;0;0;20201215
26;azgranata.az;0;0;7574658;15;0;0;0;0;20201115
26;azgranata.az;0;0;7582642;16;0;0;0;0;20201015
27;azgranata.az;0;0;7344230;18;0;0;0;0;20200915
27;azgranata.az;0;0;7329944;17;0;0;0;0;20200815
27;azgranata.az;0;0;7224068;20;0;0;0;0;20200715
27;azgranata.az;0;0;7155507;17;0;0;0;0;20200615
26;azgranata.az;0;0;7081705;16;0;0;0;0;20200515
26;azgranata.az;0;0;7000730;12;0;0;0;0;20200415
26;azgranata.az;0;0;7112498;14;0;0;0;0;20200315
26;azgranata.az;0;0;7016642;14;0;0;0;0;20200215
28;azgranata.az;0;0;6821944;12;0;0;0;0;20200115
26;azgranata.az;0;0;6980679;14;0;0;0;0;20191215
24;azgranata.az;0;0;6740206;11;0;0;0;0;20191115
24;azgranata.az;0;0;6612900;12;0;0;0;0;20191015
24;azgranata.az;0;0;6639262;10;0;0;0;0;20190915
24;azgranata.az;0;0;6689303;11;0;0;0;0;20190815
24;azgranata.az;0;0;6900644;10;0;0;0;0;20190715
24;azgranata.az;0;0;6686527;8;0;0;0;0;20190615
0;azgranata.az;0;0;36456344;2;0;0;0;0;20190515
0;azgranata.az;0;0;51620575;1;0;0;0;0;20190415
0;azgranata.az;0;0;29011119;1;0;0;0;0;20190315
0;azgranata.az;0;0;23607446;3;0;0;0;0;20190215
0;azgranata.az;0;0;29381039;3;0;0;0;0;20190115
0;azgranata.az;0;0;21275303;1;0;0;0;0;20181215
0;azgranata.az;0;0;47721002;2;0;0;0;0;20181115
0;azgranata.az;0;0;22502022;1;0;0;0;0;20181015
0;azgranata.az;0;0;18619195;1;0;0;0;0;20180915
0;azgranata.az;0;0;39205733;3;0;0;0;0;20180815
0;azgranata.az;0;0;39253883;18;0;0;0;0;20180715
0;azgranata.az;0;0;51628605;19;0;0;0;0;20180615
0;azgranata.az;0;0;21703676;20;0;0;0;0;20180515
2;azgranata.az;0;0;12344738;20;0;0;0;0;20180415
2;azgranata.az;0;0;12121305;17;0;0;0;0;20180315
1;azgranata.az;0;0;12993698;18;0;0;0;0;20180215
0;azgranata.az;0;0;44049954;17;0;0;0;0;20180115
2;azgranata.az;0;0;10613924;12;0;0;0;0;20171215
0;azgranata.az;0;0;29367000;12;0;0;0;0;20171115
3;azgranata.az;0;0;9833762;16;0;0;0;0;20171015
0;azgranata.az;0;0;42815796;14;0;0;0;0;20170915
0;azgranata.az;0;0;13823073;16;0;0;0;0;20170815
2;azgranata.az;0;0;10615783;15;0;0;0;0;20170715
2;azgranata.az;0;0;11090805;13;0;0;0;0;20170615
0;azgranata.az;0;0;50322819;11;0;0;0;0;20170515
0;azgranata.az;0;0;20659309;11;0;0;0;0;20170415
0;azgranata.az;0;0;23784912;11;0;0;0;0;20170315
0;azgranata.az;0;0;39056323;16;0;0;0;0;20170215
1;azgranata.az;0;0;13440341;20;0;0;0;0;20170115
0;azgranata.az;0;0;17629445;19;0;0;0;0;20161215
27;azgranata.az;0;0;3780413;13;0;0;0;0;20161115
2;azgranata.az;0;0;7684120;10;0;0;0;0;20161015
0;azgranata.az;0;0;30702048;9;0;0;0;0;20160915
0;azgranata.az;0;0;43694705;9;0;0;0;0;20160815
23;azgranata.az;0;0;3903860;11;0;0;0;0;20160715
23;azgranata.az;0;0;3929238;14;0;0;0;0;20160615
0;azgranata.az;0;0;46346105;15;0;0;0;0;20160515
4;azgranata.az;0;0;7122879;12;0;0;0;0;20160415
4;azgranata.az;0;0;6681466;6;0;0;0;0;20160315
4;azgranata.az;0;0;6543609;2;0;0;0;0;20160215
4;azgranata.az;0;0;6718441;3;0;0;0;0;20160115
4;azgranata.az;0;0;6762954;3;0;0;0;0;20151215
0;azgranata.az;0;0;37986859;2;0;0;0;0;20151115
0;azgranata.az;0;0;36840356;1;0;0;0;0;20151015
0;azgranata.az;0;0;0;0;0;0;0;0;20150915
0;azgranata.az;0;0;0;0;0;0;0;0;20150815
0;azgranata.az;0;0;0;0;0;0;0;0;20150715
19;azgranata.az;0;0;3828311;2;17;0;0;0;20150615
1;azgranata.az;0;0;7369878;1;1;0;0;0;20150515
0;azgranata.az;0;0;0;0;0;0;0;0;20150415
0;azgranata.az;0;0;0;0;0;0;0;0;20150315
0;azgranata.az;0;0;0;0;0;0;0;0;20150215
0;azgranata.az;0;0;0;0;0;0;0;0;20150115
0;azgranata.az;0;0;0;0;0;0;0;0;20141215
0;azgranata.az;0;0;0;0;0;0;0;0;20141115
0;azgranata.az;0;0;0;0;0;0;0;0;20141015
0;azgranata.az;0;0;0;0;0;0;0;0;20140915
0;azgranata.az;0;0;0;0;0;0;0;0;20140815
0;azgranata.az;0;0;0;0;0;0;0;0;20140715
0;azgranata.az;0;0;0;0;0;0;0;0;20140615
0;azgranata.az;0;0;0;0;0;0;0;0;20140515
0;azgranata.az;0;0;0;0;0;0;0;0;20140415
0;azgranata.az;0;0;0;0;0;0;0;0;20140315
0;azgranata.az;0;0;0;0;0;0;0;0;20140215
0;azgranata.az;0;0;0;0;0;0;0;0;20140115
0;azgranata.az;0;0;0;0;0;0;0;0;20131215
0;azgranata.az;0;0;0;0;0;0;0;0;20131115
0;azgranata.az;0;0;0;0;0;0;0;0;20131015
0;azgranata.az;0;0;0;0;0;0;0;0;20130915
0;azgranata.az;0;0;0;0;0;0;0;0;20130815
0;azgranata.az;0;0;0;0;0;0;0;0;20130715
0;azgranata.az;0;0;0;0;0;0;0;0;20130615
0;azgranata.az;0;0;0;0;0;0;0;0;20130515
0;azgranata.az;0;0;0;0;0;0;0;0;20130415
0;azgranata.az;0;0;0;0;0;0;0;0;20130315
0;azgranata.az;0;0;0;0;0;0;0;0;20130215
0;azgranata.az;0;0;0;0;0;0;0;0;20130115
0;azgranata.az;0;0;0;0;0;0;0;0;20121215
0;azgranata.az;0;0;0;0;0;0;0;0;20121115
0;azgranata.az;0;0;0;0;0;0;0;0;20121015
0;azgranata.az;0;0;0;0;0;0;0;0;20120915
0;azgranata.az;0;0;0;0;0;0;0;0;20120815
0;azgranata.az;0;0;0;0;0;0;0;0;20120715
0;azgranata.az;0;0;0;0;0;0;0;0;20120615
0;azgranata.az;0;0;0;0;0;0;0;0;20120515
0;azgranata.az;0;0;0;0;0;0;0;0;20120415
0;azgranata.az;0;0;0;0;0;0;0;0;20120315
0;azgranata.az;0;0;0;0;0;0;0;0;20120215
0;azgranata.az;0;0;0;0;0;0;0;0;20120115
