Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2672;vermontcookielove.com;0;0;504813;767;2656;0;0;0;20210615
2601;vermontcookielove.com;0;0;513229;829;2386;0;0;0;20210515
2423;vermontcookielove.com;0;0;531216;731;1802;0;0;0;20210415
2680;vermontcookielove.com;0;0;483749;775;3268;0;0;0;20210315
2756;vermontcookielove.com;0;0;476879;749;3434;0;0;0;20210215
2629;vermontcookielove.com;0;0;490905;710;2147;0;0;0;20210115
2703;vermontcookielove.com;0;0;474854;732;234;0;0;0;20201215
2698;vermontcookielove.com;0;0;468937;569;468;0;0;0;20201115
2409;vermontcookielove.com;0;0;506469;597;174;0;0;0;20201015
1838;vermontcookielove.com;0;0;611147;570;202;0;0;0;20200915
896;vermontcookielove.com;0;0;1011389;563;545;0;0;0;20200815
906;vermontcookielove.com;0;0;982331;555;516;0;0;0;20200715
1038;vermontcookielove.com;0;0;891200;595;650;0;0;0;20200615
836;vermontcookielove.com;0;0;1024709;647;340;0;0;0;20200515
913;vermontcookielove.com;0;0;948306;490;464;0;0;0;20200415
802;vermontcookielove.com;0;0;1039425;497;2107;0;0;0;20200315
861;vermontcookielove.com;0;0;973541;585;422;0;0;0;20200215
881;vermontcookielove.com;0;0;950813;832;530;0;0;0;20200115
1243;vermontcookielove.com;0;0;741240;794;1278;0;0;0;20191215
732;vermontcookielove.com;0;0;1014721;595;574;0;0;0;20191115
827;vermontcookielove.com;0;0;916881;560;702;0;0;0;20191015
803;vermontcookielove.com;0;0;921714;628;674;0;0;0;20190915
839;vermontcookielove.com;0;0;892483;592;710;0;0;0;20190815
1059;vermontcookielove.com;0;0;772663;800;767;0;0;0;20190715
1040;vermontcookielove.com;0;0;777694;802;770;0;0;0;20190615
646;vermontcookielove.com;0;0;938575;710;285;0;0;0;20190515
668;vermontcookielove.com;0;0;916535;646;275;0;0;0;20190415
662;vermontcookielove.com;0;0;932282;633;272;0;0;0;20190315
640;vermontcookielove.com;0;0;947218;586;308;0;0;0;20190215
705;vermontcookielove.com;0;0;898501;603;366;0;0;0;20190115
553;vermontcookielove.com;0;0;1051019;561;240;0;0;0;20181215
660;vermontcookielove.com;0;0;942998;677;292;0;0;0;20181115
777;vermontcookielove.com;0;0;855186;669;400;0;0;0;20181015
772;vermontcookielove.com;0;0;863791;566;405;0;0;0;20180915
561;vermontcookielove.com;0;0;1075781;685;266;0;0;0;20180815
813;vermontcookielove.com;0;0;858337;732;464;0;0;0;20180715
730;vermontcookielove.com;0;0;917618;612;334;0;0;0;20180615
733;vermontcookielove.com;0;0;912563;511;331;0;0;0;20180515
774;vermontcookielove.com;0;0;878701;468;379;0;0;0;20180415
773;vermontcookielove.com;0;0;884003;575;378;0;0;0;20180315
535;vermontcookielove.com;0;0;1123016;716;504;0;0;0;20180215
511;vermontcookielove.com;0;0;1109208;652;937;0;0;0;20180115
538;vermontcookielove.com;0;0;1001722;641;928;0;0;0;20171215
526;vermontcookielove.com;0;0;1010385;682;955;0;0;0;20171115
470;vermontcookielove.com;0;0;1085769;674;897;0;0;0;20171015
481;vermontcookielove.com;0;0;1077246;788;908;0;0;0;20170915
489;vermontcookielove.com;0;0;1079952;751;903;0;0;0;20170815
519;vermontcookielove.com;0;0;1000663;693;917;0;0;0;20170715
506;vermontcookielove.com;0;0;1075574;453;923;0;0;0;20170615
459;vermontcookielove.com;0;0;1229974;445;836;0;0;0;20170515
713;vermontcookielove.com;0;0;963347;469;1108;0;0;0;20170415
567;vermontcookielove.com;0;0;1022777;540;907;0;0;0;20170315
567;vermontcookielove.com;16;1;1041070;505;909;1;16;35;20170215
570;vermontcookielove.com;0;0;1053854;545;918;0;0;0;20170115
337;vermontcookielove.com;0;0;1477156;492;407;0;0;0;20161215
168;vermontcookielove.com;0;0;1631627;404;156;0;0;0;20161115
177;vermontcookielove.com;0;0;1514752;456;187;0;0;0;20161015
166;vermontcookielove.com;0;0;1567164;371;139;0;0;0;20160915
167;vermontcookielove.com;0;0;1582535;342;153;0;0;0;20160815
171;vermontcookielove.com;0;0;1554785;344;154;0;0;0;20160715
145;vermontcookielove.com;0;0;1715351;349;142;0;0;0;20160615
170;vermontcookielove.com;0;0;1576101;372;176;0;0;0;20160515
127;vermontcookielove.com;0;0;1784149;397;131;0;0;0;20160415
131;vermontcookielove.com;0;0;1736646;407;136;0;0;0;20160315
133;vermontcookielove.com;0;0;1715251;414;136;0;0;0;20160215
122;vermontcookielove.com;0;0;1783799;392;118;0;0;0;20160115
78;vermontcookielove.com;0;0;2254024;412;77;0;0;0;20151215
109;vermontcookielove.com;0;0;2005302;442;111;0;0;0;20151115
124;vermontcookielove.com;0;0;1814729;471;137;0;0;0;20151015
157;vermontcookielove.com;0;0;1493284;27;224;0;0;0;20150915
36;vermontcookielove.com;0;0;3031018;18;52;0;0;0;20150815
33;vermontcookielove.com;0;0;3134158;17;38;0;0;0;20150715
48;vermontcookielove.com;0;0;2657586;18;33;0;0;0;20150615
11;vermontcookielove.com;0;0;4340976;17;6;0;0;0;20150515
68;vermontcookielove.com;0;0;2119386;27;146;0;0;0;20150415
97;vermontcookielove.com;0;0;1763442;33;117;0;0;0;20150315
115;vermontcookielove.com;0;0;1628929;33;146;0;0;0;20150215
129;vermontcookielove.com;0;0;1536525;35;181;0;0;0;20150115
103;vermontcookielove.com;0;0;1731469;36;129;0;0;0;20141215
108;vermontcookielove.com;0;0;1756104;39;138;0;0;0;20141115
90;vermontcookielove.com;0;0;2010025;28;203;0;0;0;20141015
54;vermontcookielove.com;0;0;2570493;25;115;0;0;0;20140915
44;vermontcookielove.com;0;0;2826279;25;124;0;0;0;20140815
74;vermontcookielove.com;0;0;1643752;30;65;0;0;0;20140715
36;vermontcookielove.com;0;0;2235194;38;34;0;0;0;20140615
25;vermontcookielove.com;0;0;2615777;32;32;0;0;0;20140515
34;vermontcookielove.com;0;0;2323588;28;39;0;0;0;20140415
47;vermontcookielove.com;0;0;2040531;38;69;0;0;0;20140315
33;vermontcookielove.com;0;0;2275321;37;10;0;0;0;20140215
