Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
2079;villadolcecafe.com;0;0;608469;273;3202;0;0;0;20210615
2067;villadolcecafe.com;0;0;609370;254;3128;0;0;0;20210515
2043;villadolcecafe.com;0;0;603347;224;1715;0;0;0;20210415
2050;villadolcecafe.com;0;0;591342;222;1853;0;0;0;20210315
2053;villadolcecafe.com;0;0;595027;252;1825;0;0;0;20210215
1782;villadolcecafe.com;0;0;655989;253;1635;0;0;0;20210115
1821;villadolcecafe.com;0;0;637812;232;1900;0;0;0;20201215
1806;villadolcecafe.com;0;0;633199;191;1423;0;0;0;20201115
1741;villadolcecafe.com;0;0;644915;212;1251;0;0;0;20201015
1758;villadolcecafe.com;0;0;631829;222;1528;0;0;0;20200915
1543;villadolcecafe.com;0;0;688235;232;1152;0;0;0;20200815
1566;villadolcecafe.com;0;0;664262;211;1204;0;0;0;20200715
1477;villadolcecafe.com;0;0;692268;174;1139;0;0;0;20200615
1471;villadolcecafe.com;0;0;686973;145;2562;0;0;0;20200515
1040;villadolcecafe.com;0;0;866169;163;937;0;0;0;20200415
896;villadolcecafe.com;0;0;963089;172;408;0;0;0;20200315
1051;villadolcecafe.com;0;0;847124;176;688;0;0;0;20200215
1064;villadolcecafe.com;0;0;833463;177;766;0;0;0;20200115
1187;villadolcecafe.com;0;0;765592;201;1398;0;0;0;20191215
1208;villadolcecafe.com;0;0;720974;221;1786;0;0;0;20191115
979;villadolcecafe.com;0;0;817574;222;1130;0;0;0;20191015
1252;villadolcecafe.com;0;0;678277;244;1273;0;0;0;20190915
1333;villadolcecafe.com;0;0;647147;264;1612;0;0;0;20190815
1055;villadolcecafe.com;0;0;775169;104;1343;0;0;0;20190715
728;villadolcecafe.com;0;0;992362;65;944;0;0;0;20190615
689;villadolcecafe.com;0;0;900852;56;220;0;0;0;20190515
