Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
17896061;bloomberg.com;31562;944;208;6528475;45347311;944;31562;487319;20210615
17680301;bloomberg.com;35428;892;216;6414555;45341214;892;35428;326829;20210515
17728600;bloomberg.com;42560;1027;214;6229270;46649016;1027;42560;554000;20210415
16934811;bloomberg.com;77045;1106;210;6520213;41893939;1106;77045;837912;20210315
17028715;bloomberg.com;91924;537;216;6857207;43016639;537;91924;825066;20210215
18051382;bloomberg.com;115148;502;197;6747584;46143125;502;115148;1208274;20210115
16587941;bloomberg.com;63954;533;222;6542231;53491619;533;63954;1200689;20201215
13407060;bloomberg.com;64714;387;278;6102958;46788713;387;64714;814050;20201115
13021045;bloomberg.com;64736;493;287;5952958;35345546;493;64736;824731;20201015
11878081;bloomberg.com;109140;357;306;5953734;36898908;357;109140;1802478;20200915
12346839;bloomberg.com;106729;675;290;6031047;34888950;675;106729;1320043;20200815
11928787;bloomberg.com;143883;733;289;6086138;33173920;733;143883;1698022;20200715
12512170;bloomberg.com;28637;725;272;6310481;35251284;725;28637;95829;20200615
12027425;bloomberg.com;7556;185;286;6762503;33693324;185;7556;54228;20200515
14448818;bloomberg.com;11199;221;233;7436158;39802583;221;11199;44303;20200415
13498029;bloomberg.com;4098;199;243;7295889;50464378;199;4098;38740;20200315
15453082;bloomberg.com;3835;95;216;7349689;44814445;95;3835;28724;20200215
14460487;bloomberg.com;89833;69;220;7827223;32651632;69;89833;54832;20200115
15374859;bloomberg.com;13522;376;207;7986898;35268290;376;13522;71387;20191215
16019017;bloomberg.com;14324;275;201;8080402;36443879;275;14324;31669;20191115
14195519;bloomberg.com;41709;290;221;7872010;25383917;290;41709;84669;20191015
11656267;bloomberg.com;12669;548;275;6842422;21385561;548;12669;28905;20190915
11048082;bloomberg.com;71549;900;292;6922847;18747674;900;71549;150116;20190815
13819452;bloomberg.com;45364;612;217;8322177;22262645;612;45364;103651;20190715
16191775;bloomberg.com;88275;1806;174;7853778;26198553;1806;88275;187573;20190615
12659323;bloomberg.com;47722;915;208;6996808;17921094;915;47722;91961;20190515
12740189;bloomberg.com;50291;742;209;6779398;18101267;742;50291;111692;20190415
12924027;bloomberg.com;80096;916;199;6629690;18622836;916;80096;161007;20190315
12569964;bloomberg.com;84900;889;214;6211856;18864616;889;84900;153808;20190215
12768966;bloomberg.com;75679;508;211;6196302;18927019;508;75679;132761;20190115
11897847;bloomberg.com;47383;311;229;6300872;18082993;311;47383;101779;20181215
11997103;bloomberg.com;37890;242;226;6321760;18084041;242;37890;80268;20181115
12655143;bloomberg.com;21920;244;220;6684091;19216983;244;21920;48102;20181015
13786582;bloomberg.com;78208;252;184;7084843;20584437;252;78208;145273;20180915
17959060;bloomberg.com;42874;291;143;7204727;22775262;291;42874;97074;20180815
15592969;bloomberg.com;11864;123;169;7522553;22609464;123;11864;27656;20180715
16253490;bloomberg.com;40848;145;159;7570156;23707675;145;40848;80542;20180615
16292134;bloomberg.com;31198;61;159;7602351;24207340;61;31198;56484;20180515
18445534;bloomberg.com;500;16;144;8417632;26617011;16;500;2718;20180415
20766078;bloomberg.com;489;10;125;8436637;30415096;10;489;2643;20180315
16404702;bloomberg.com;549;23;195;8261794;26717023;23;549;2810;20180215
17539866;bloomberg.com;479;7;168;7859796;26684886;7;479;2454;20180115
16287854;bloomberg.com;647;12;146;7367373;24476786;12;647;2965;20171215
15517889;bloomberg.com;19860;299;152;7185587;24125348;299;19860;14577;20171115
15041456;bloomberg.com;0;0;161;6976305;22598683;0;0;0;20171015
14640312;bloomberg.com;6076;103;163;6568118;23155560;103;6076;25091;20170915
14532722;bloomberg.com;11748;153;161;5980148;23875664;153;11748;40316;20170815
10306686;bloomberg.com;4670;84;192;5663324;15138522;84;4670;7211;20170715
13021470;bloomberg.com;8428;115;179;6163743;19912808;115;8428;24938;20170615
14661672;bloomberg.com;7873;52;159;6627444;23055614;52;7873;11763;20170515
14464077;bloomberg.com;211;29;173;6632449;22474693;29;211;309;20170415
12622809;bloomberg.com;1052;100;186;6470629;18736852;100;1052;3205;20170315
11733258;bloomberg.com;637;48;200;6213326;17729789;48;637;2021;20170215
12343888;bloomberg.com;969;19;187;6253435;18107902;19;969;3053;20170115
11854850;bloomberg.com;1049;113;188;5474814;18519034;113;1049;2581;20161215
9733487;bloomberg.com;517;39;196;4174253;15635457;39;517;1575;20161115
9710798;bloomberg.com;54;39;197;4444550;15578084;39;54;21;20161015
10071764;bloomberg.com;587;46;186;4585651;16121404;46;587;1559;20160915
9766071;bloomberg.com;472;174;202;4837542;16359470;174;472;2257;20160815
10249903;bloomberg.com;1;5;190;4513929;18023613;5;1;3;20160715
9873438;bloomberg.com;0;6;193;4179218;16808520;6;0;0;20160615
8768422;bloomberg.com;0;6;219;4116363;14451449;6;0;0;20160515
8042796;bloomberg.com;0;6;235;4222426;13646361;6;0;0;20160415
7275219;bloomberg.com;0;10;252;4300874;12200815;10;0;0;20160315
7771708;bloomberg.com;0;16;231;4337732;12926703;16;0;0;20160215
7802989;bloomberg.com;2;140;231;4317479;12771945;140;2;69;20160115
7683435;bloomberg.com;419;189;229;4926433;13669993;189;419;4698;20151215
