Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
6;wildcatchfishco.com.au;0;0;11782415;51;0;0;0;0;20210615
6;wildcatchfishco.com.au;0;0;11352795;46;0;0;0;0;20210515
6;wildcatchfishco.com.au;0;0;11198578;43;0;0;0;0;20210415
4;wildcatchfishco.com.au;0;0;12924235;45;0;0;0;0;20210315
7;wildcatchfishco.com.au;0;0;10755888;46;1;0;0;0;20210215
5;wildcatchfishco.com.au;0;0;12139682;51;1;0;0;0;20210115
7;wildcatchfishco.com.au;0;0;10706985;47;2;0;0;0;20201215
7;wildcatchfishco.com.au;0;0;11035172;39;0;0;0;0;20201115
6;wildcatchfishco.com.au;0;0;11773612;33;0;0;0;0;20201015
8;wildcatchfishco.com.au;0;0;10642799;44;3;0;0;0;20200915
12;wildcatchfishco.com.au;0;0;9575470;42;3;0;0;0;20200815
13;wildcatchfishco.com.au;0;0;9291436;41;8;0;0;0;20200715
16;wildcatchfishco.com.au;0;0;8737561;41;8;0;0;0;20200615
37;wildcatchfishco.com.au;0;0;6134759;39;0;0;0;0;20200515
33;wildcatchfishco.com.au;0;0;6310007;36;0;0;0;0;20200415
5;wildcatchfishco.com.au;0;0;11421415;31;3;0;0;0;20200315
1;wildcatchfishco.com.au;0;0;18032793;35;0;0;0;0;20200215
3;wildcatchfishco.com.au;0;0;13747956;48;0;0;0;0;20200115
2;wildcatchfishco.com.au;0;0;14772457;40;0;0;0;0;20191215
4;wildcatchfishco.com.au;0;0;12312067;29;1;0;0;0;20191115
5;wildcatchfishco.com.au;0;0;11544578;27;2;0;0;0;20191015
5;wildcatchfishco.com.au;0;0;11469959;26;2;0;0;0;20190915
4;wildcatchfishco.com.au;0;0;12253469;17;1;0;0;0;20190815
4;wildcatchfishco.com.au;0;0;12067158;28;1;0;0;0;20190715
4;wildcatchfishco.com.au;0;0;12083465;41;2;0;0;0;20190615
3;wildcatchfishco.com.au;0;0;10203307;41;0;0;0;0;20190515
0;wildcatchfishco.com.au;0;0;29076293;26;0;0;0;0;20190415
2;wildcatchfishco.com.au;0;0;11486892;30;2;0;0;0;20190315
3;wildcatchfishco.com.au;0;0;10244625;46;0;0;0;0;20190215
1;wildcatchfishco.com.au;0;0;14022966;42;0;0;0;0;20190115
0;wildcatchfishco.com.au;0;0;32967526;32;0;0;0;0;20181215
3;wildcatchfishco.com.au;0;0;10586863;26;0;0;0;0;20181115
0;wildcatchfishco.com.au;0;0;41929916;24;0;0;0;0;20181015
0;wildcatchfishco.com.au;0;0;18992965;20;0;0;0;0;20180915
0;wildcatchfishco.com.au;0;0;40615919;10;0;0;0;0;20180815
0;wildcatchfishco.com.au;0;0;37668368;1;0;0;0;0;20180715
0;wildcatchfishco.com.au;0;0;0;0;0;0;0;0;20180615
0;wildcatchfishco.com.au;0;0;0;0;0;0;0;0;20180515
0;wildcatchfishco.com.au;0;0;0;0;0;0;0;0;20180415
0;wildcatchfishco.com.au;0;0;0;0;0;0;0;0;20180315
0;wildcatchfishco.com.au;0;0;0;0;0;0;0;0;20180215
0;wildcatchfishco.com.au;0;0;0;0;0;0;0;0;20180115
0;wildcatchfishco.com.au;0;0;0;0;0;0;0;0;20171215
0;wildcatchfishco.com.au;0;0;0;0;0;0;0;0;20171115
0;wildcatchfishco.com.au;0;0;0;0;0;0;0;0;20171015
