Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
48545;xproducts.com;0;0;53300;4457;5375;0;0;0;20210615
47428;xproducts.com;0;0;53949;4266;4760;0;0;0;20210515
44173;xproducts.com;0;0;56015;4232;3460;0;0;0;20210415
41241;xproducts.com;0;0;57699;3909;15467;0;0;0;20210315
39286;xproducts.com;0;0;57164;3730;13657;0;0;0;20210215
42762;xproducts.com;0;0;52983;4035;4675;0;0;0;20210115
43878;xproducts.com;0;0;51258;4129;14464;0;0;0;20201215
40368;xproducts.com;0;0;54608;4254;18427;0;0;0;20201115
37135;xproducts.com;0;0;58041;4268;87590;0;0;0;20201015
25280;xproducts.com;0;0;78404;4689;12098;0;0;0;20200915
33427;xproducts.com;0;0;62543;4815;88120;0;0;0;20200815
29975;xproducts.com;0;0;66407;4705;86964;0;0;0;20200715
29500;xproducts.com;0;0;67318;4534;86585;0;0;0;20200615
27959;xproducts.com;0;0;69932;4406;90203;0;0;0;20200515
27781;xproducts.com;0;0;70787;3804;73890;0;0;0;20200415
26081;xproducts.com;0;0;74203;3924;26909;0;0;0;20200315
23677;xproducts.com;0;0;79958;3809;10321;0;0;0;20200215
21921;xproducts.com;0;0;83425;3586;40656;0;0;0;20200115
22359;xproducts.com;0;0;82172;3465;40844;0;0;0;20191215
20484;xproducts.com;0;0;85765;3721;2203;0;0;0;20191115
21522;xproducts.com;0;0;80220;3972;5074;0;0;0;20191015
24189;xproducts.com;0;0;72249;4742;5852;0;0;0;20190915
25105;xproducts.com;0;0;69844;4951;6415;0;0;0;20190815
25695;xproducts.com;0;0;68889;4981;6116;0;0;0;20190715
26414;xproducts.com;0;0;67396;4950;6584;0;0;0;20190615
28012;xproducts.com;0;0;57961;8825;9594;0;0;0;20190515
25556;xproducts.com;0;0;62370;8289;9128;0;0;0;20190415
25655;xproducts.com;0;0;62478;7787;8658;0;0;0;20190315
19181;xproducts.com;0;0;77967;4266;7172;0;0;0;20190215
19007;xproducts.com;0;0;78457;4197;7223;0;0;0;20190115
18267;xproducts.com;0;0;80888;4101;6739;0;0;0;20181215
19073;xproducts.com;0;0;78138;3728;6863;0;0;0;20181115
21026;xproducts.com;0;0;72422;4241;7656;0;0;0;20181015
27337;xproducts.com;0;0;56503;6904;9241;0;0;0;20180915
27806;xproducts.com;0;0;57472;7910;9677;0;0;0;20180815
29144;xproducts.com;0;0;55097;8242;9012;0;0;0;20180715
30862;xproducts.com;0;0;52414;9454;9674;0;0;0;20180615
28153;xproducts.com;0;0;56307;7667;8543;0;0;0;20180515
28126;xproducts.com;0;0;56048;7716;8416;0;0;0;20180415
28427;xproducts.com;0;0;55552;8383;8623;0;0;0;20180315
23396;xproducts.com;0;0;67799;5297;9386;0;0;0;20180215
26985;xproducts.com;0;0;58071;5106;11307;0;0;0;20180115
21221;xproducts.com;0;0;62292;5623;7551;0;0;0;20171215
23472;xproducts.com;0;0;58338;6001;8311;0;0;0;20171115
22986;xproducts.com;0;0;59696;5381;9112;0;0;0;20171015
23168;xproducts.com;0;0;59645;5129;8994;0;0;0;20170915
20495;xproducts.com;0;0;66410;4605;7388;0;0;0;20170815
16422;xproducts.com;0;0;68988;4093;6474;0;0;0;20170715
19024;xproducts.com;0;0;71832;4277;6604;0;0;0;20170615
18453;xproducts.com;0;0;78492;4256;5921;0;0;0;20170515
19824;xproducts.com;0;0;79351;4161;6149;0;0;0;20170415
17516;xproducts.com;0;0;77759;4186;5739;0;0;0;20170315
17713;xproducts.com;0;0;77044;4201;5604;0;0;0;20170215
18063;xproducts.com;0;0;75863;4077;5619;0;0;0;20170115
17322;xproducts.com;0;0;77050;3805;5780;0;0;0;20161215
8046;xproducts.com;0;0;114788;3271;4261;0;0;0;20161115
8945;xproducts.com;0;0;105876;3441;4581;0;0;0;20161015
8919;xproducts.com;0;0;105347;3177;4722;0;0;0;20160915
7101;xproducts.com;0;0;126426;2978;3700;0;0;0;20160815
7098;xproducts.com;0;0;126189;2770;3754;0;0;0;20160715
6709;xproducts.com;0;0;131681;2604;3189;0;0;0;20160615
6111;xproducts.com;0;0;140940;2456;2935;0;0;0;20160515
5781;xproducts.com;0;0;144366;2540;1023;0;0;0;20160415
2966;xproducts.com;0;0;234000;2463;879;0;0;0;20160315
3105;xproducts.com;0;0;225396;2517;885;0;0;0;20160215
3127;xproducts.com;0;0;223908;2789;935;0;0;0;20160115
4005;xproducts.com;0;0;185712;3323;1107;0;0;0;20151215
5399;xproducts.com;0;0;148771;3689;1392;0;0;0;20151115
4836;xproducts.com;0;0;154408;4036;899;0;0;0;20151015
4285;xproducts.com;0;0;161894;494;1031;0;0;0;20150915
4891;xproducts.com;0;0;147489;484;1205;0;0;0;20150815
5254;xproducts.com;0;0;137752;516;1109;0;0;0;20150715
6479;xproducts.com;0;0;115223;517;2570;0;0;0;20150615
5554;xproducts.com;0;0;121906;497;1313;0;0;0;20150515
7007;xproducts.com;0;0;100629;580;1556;0;0;0;20150415
6459;xproducts.com;0;0;105341;607;3380;0;0;0;20150315
5541;xproducts.com;0;0;119257;605;2798;0;0;0;20150215
4727;xproducts.com;0;0;134022;433;2175;0;0;0;20150115
3460;xproducts.com;0;0;169698;413;1007;0;0;0;20141215
5506;xproducts.com;0;0;130026;464;2040;0;0;0;20141115
3144;xproducts.com;0;0;199011;362;2873;0;0;0;20141015
3039;xproducts.com;0;0;205536;328;934;0;0;0;20140915
2132;xproducts.com;0;0;270905;299;703;0;0;0;20140815
4086;xproducts.com;0;0;141688;416;1170;0;0;0;20140715
2596;xproducts.com;0;0;194376;412;669;0;0;0;20140615
2366;xproducts.com;0;0;204068;370;597;0;0;0;20140515
2478;xproducts.com;0;0;198901;374;646;0;0;0;20140415
2544;xproducts.com;0;0;195727;392;641;0;0;0;20140315
2320;xproducts.com;0;0;203559;351;397;0;0;0;20140215
2108;xproducts.com;0;0;219357;301;469;0;0;0;20140115
1477;xproducts.com;0;0;277315;268;192;0;0;0;20131215
1325;xproducts.com;0;0;271023;262;150;0;0;0;20131115
664;xproducts.com;0;0;330748;245;178;0;0;0;20131015
581;xproducts.com;0;0;364429;242;158;0;0;0;20130915
700;xproducts.com;0;0;326368;216;167;0;0;0;20130815
589;xproducts.com;0;0;367125;227;149;0;0;0;20130715
567;xproducts.com;0;0;364157;161;130;0;0;0;20130615
559;xproducts.com;0;0;381512;187;168;0;0;0;20130515
618;xproducts.com;0;0;375829;177;206;0;0;0;20130415
722;xproducts.com;0;0;344879;247;201;0;0;0;20130315
687;xproducts.com;0;0;376518;199;264;0;0;0;20130215
0;xproducts.com;0;0;0;0;0;0;0;0;20130115
0;xproducts.com;0;0;0;0;0;0;0;0;20121215
0;xproducts.com;0;0;0;0;0;0;0;0;20121115
0;xproducts.com;0;0;0;0;0;0;0;0;20121015
0;xproducts.com;0;0;0;0;0;0;0;0;20120915
0;xproducts.com;0;0;0;0;0;0;0;0;20120815
0;xproducts.com;0;0;0;0;0;0;0;0;20120715
0;xproducts.com;0;0;0;0;0;0;0;0;20120615
0;xproducts.com;0;0;0;0;0;0;0;0;20120515
0;xproducts.com;0;0;0;0;0;0;0;0;20120415
0;xproducts.com;0;0;0;0;0;0;0;0;20120315
0;xproducts.com;0;0;0;0;0;0;0;0;20120215
0;xproducts.com;0;0;0;0;0;0;0;0;20120115
