Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
121;yinzercards.com;0;0;3609224;35;40;0;0;0;20210615
117;yinzercards.com;0;0;3664264;37;24;0;0;0;20210515
155;yinzercards.com;0;0;3122782;51;50;0;0;0;20210415
293;yinzercards.com;0;0;2153738;43;188;0;0;0;20210315
160;yinzercards.com;0;0;3043117;37;57;0;0;0;20210215
193;yinzercards.com;0;0;2748313;45;74;0;0;0;20210115
198;yinzercards.com;0;0;2681538;56;74;0;0;0;20201215
97;yinzercards.com;0;0;3948878;44;21;0;0;0;20201115
86;yinzercards.com;0;0;4195174;40;19;0;0;0;20201015
82;yinzercards.com;0;0;4258148;38;0;0;0;0;20200915
65;yinzercards.com;0;0;4809601;42;2;0;0;0;20200815
71;yinzercards.com;0;0;4551857;44;6;0;0;0;20200715
73;yinzercards.com;0;0;4450438;43;8;0;0;0;20200615
72;yinzercards.com;0;0;4402668;39;4;0;0;0;20200515
58;yinzercards.com;0;0;4828299;28;0;0;0;0;20200415
57;yinzercards.com;0;0;4931540;30;0;0;0;0;20200315
6;yinzercards.com;0;0;10759772;25;4;0;0;0;20200215
10;yinzercards.com;0;0;9586295;35;0;0;0;0;20200115
17;yinzercards.com;0;0;8269171;43;1;0;0;0;20191215
96;yinzercards.com;0;0;3416043;38;22;0;0;0;20191115
100;yinzercards.com;0;0;3268078;27;26;0;0;0;20191015
94;yinzercards.com;0;0;3346296;33;22;0;0;0;20190915
98;yinzercards.com;0;0;3287176;31;22;0;0;0;20190815
129;yinzercards.com;0;0;2886076;32;26;0;0;0;20190715
101;yinzercards.com;0;0;3242312;25;22;0;0;0;20190615
10;yinzercards.com;0;0;7213237;31;7;0;0;0;20190515
7;yinzercards.com;0;0;8092533;30;4;0;0;0;20190415
8;yinzercards.com;0;0;7888079;19;3;0;0;0;20190315
5;yinzercards.com;0;0;9261666;21;2;0;0;0;20190215
11;yinzercards.com;0;0;7234696;19;5;0;0;0;20190115
15;yinzercards.com;0;0;6529901;19;4;0;0;0;20181215
23;yinzercards.com;0;0;5654809;7;5;0;0;0;20181115
6;yinzercards.com;0;0;8957275;4;1;0;0;0;20181015
0;yinzercards.com;0;0;29879232;1;0;0;0;0;20180915
0;yinzercards.com;0;0;51396534;2;0;0;0;0;20180815
3;yinzercards.com;0;0;11433126;4;0;0;0;0;20180715
0;yinzercards.com;0;0;0;0;0;0;0;0;20180615
1;yinzercards.com;0;0;13066651;1;0;0;0;0;20180515
0;yinzercards.com;0;0;0;0;0;0;0;0;20180415
