Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
0;yolato.com;0;0;44806383;12;0;0;0;0;20210615
0;yolato.com;0;0;57806820;18;0;0;0;0;20210515
0;yolato.com;0;0;25605759;17;0;0;0;0;20210415
0;yolato.com;0;0;63961116;17;0;0;0;0;20210315
0;yolato.com;0;0;60840917;16;0;0;0;0;20210215
0;yolato.com;0;0;47118451;16;0;0;0;0;20210115
0;yolato.com;0;0;29360642;27;0;0;0;0;20201215
0;yolato.com;0;0;27837065;37;0;0;0;0;20201115
6;yolato.com;0;0;11617474;51;0;0;0;0;20201015
0;yolato.com;0;0;38922132;41;0;0;0;0;20200915
6;yolato.com;0;0;11574691;46;1;0;0;0;20200815
6;yolato.com;0;0;11188881;58;1;0;0;0;20200715
3;yolato.com;0;0;13751108;53;0;0;0;0;20200615
4;yolato.com;0;0;12476956;50;1;0;0;0;20200515
2;yolato.com;0;0;15135333;51;0;0;0;0;20200415
4;yolato.com;0;0;12134840;59;2;0;0;0;20200315
17;yolato.com;0;0;8196245;97;5;0;0;0;20200215
16;yolato.com;0;0;8471514;127;7;0;0;0;20200115
16;yolato.com;0;0;8469990;123;5;0;0;0;20191215
12;yolato.com;0;0;8962874;109;6;0;0;0;20191115
9;yolato.com;0;0;9810545;114;9;0;0;0;20191015
17;yolato.com;0;0;7702808;121;12;0;0;0;20190915
8;yolato.com;0;0;10146942;125;9;0;0;0;20190815
8;yolato.com;0;0;10236127;132;4;0;0;0;20190715
5;yolato.com;0;0;11117377;105;1;0;0;0;20190615
18;yolato.com;0;0;5952016;74;1;0;0;0;20190515
6;yolato.com;0;0;8641908;57;0;0;0;0;20190415
1;yolato.com;0;0;13080190;58;0;0;0;0;20190315
3;yolato.com;0;0;10266057;33;0;0;0;0;20190215
3;yolato.com;0;0;10598422;34;0;0;0;0;20190115
5;yolato.com;0;0;9045791;34;0;0;0;0;20181215
5;yolato.com;0;0;9053640;41;0;0;0;0;20181115
18;yolato.com;0;0;6377230;55;0;0;0;0;20181015
18;yolato.com;0;0;6456742;52;0;0;0;0;20180915
18;yolato.com;0;0;6397024;75;0;0;0;0;20180815
5;yolato.com;0;0;9553428;103;1;0;0;0;20180715
3;yolato.com;0;0;10895311;108;1;0;0;0;20180615
18;yolato.com;0;0;6607038;117;1;0;0;0;20180515
10;yolato.com;0;0;7995491;161;11;0;0;0;20180415
9;yolato.com;0;0;8363966;146;12;0;0;0;20180315
7;yolato.com;0;0;8477963;161;8;0;0;0;20180215
6;yolato.com;0;0;8833816;139;20;0;0;0;20180115
6;yolato.com;0;0;8333850;125;11;0;0;0;20171215
6;yolato.com;0;0;8302014;117;12;0;0;0;20171115
5;yolato.com;0;0;8445022;139;8;0;0;0;20171015
5;yolato.com;0;0;8578791;152;10;0;0;0;20170915
0;yolato.com;0;0;29080778;159;1;0;0;0;20170815
0;yolato.com;0;0;13382902;168;0;0;0;0;20170715
0;yolato.com;0;0;25933904;195;4;0;0;0;20170615
5;yolato.com;0;0;8633183;217;8;0;0;0;20170515
11;yolato.com;0;0;6897862;213;10;0;0;0;20170415
9;yolato.com;0;0;7166205;195;20;0;0;0;20170315
10;yolato.com;0;0;7088463;178;15;0;0;0;20170215
5;yolato.com;0;0;9170257;161;28;0;0;0;20170115
