Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
4252;zoeschocolate.com;0;0;354540;583;3472;0;0;0;20210615
4265;zoeschocolate.com;0;0;351876;572;3796;0;0;0;20210515
4061;zoeschocolate.com;0;0;358907;562;3451;0;0;0;20210415
3670;zoeschocolate.com;0;0;380893;539;2428;0;0;0;20210315
4086;zoeschocolate.com;0;0;352549;601;3083;0;0;0;20210215
3721;zoeschocolate.com;0;0;376428;515;2479;0;0;0;20210115
3759;zoeschocolate.com;0;0;368681;800;1739;0;0;0;20201215
3778;zoeschocolate.com;0;0;362368;536;2117;0;0;0;20201115
3539;zoeschocolate.com;0;0;377862;514;1685;0;0;0;20201015
3615;zoeschocolate.com;0;0;366553;538;1826;0;0;0;20200915
3365;zoeschocolate.com;0;0;384852;671;1589;0;0;0;20200815
3509;zoeschocolate.com;0;0;362952;735;1910;0;0;0;20200715
3257;zoeschocolate.com;0;0;384133;690;1671;0;0;0;20200615
3373;zoeschocolate.com;0;0;370407;660;3386;0;0;0;20200515
2748;zoeschocolate.com;0;0;429213;612;1134;0;0;0;20200415
2898;zoeschocolate.com;0;0;412001;610;1265;0;0;0;20200315
2300;zoeschocolate.com;0;0;482582;614;1789;0;0;0;20200215
2107;zoeschocolate.com;0;0;509902;429;1556;0;0;0;20200115
2091;zoeschocolate.com;0;0;509808;463;1507;0;0;0;20191215
1893;zoeschocolate.com;0;0;525497;490;284;0;0;0;20191115
1862;zoeschocolate.com;0;0;519900;492;280;0;0;0;20191015
1872;zoeschocolate.com;0;0;509025;641;282;0;0;0;20190915
1891;zoeschocolate.com;0;0;503576;668;337;0;0;0;20190815
1992;zoeschocolate.com;0;0;492874;699;296;0;0;0;20190715
2202;zoeschocolate.com;0;0;456249;713;349;0;0;0;20190615
7408;zoeschocolate.com;0;0;163723;855;6949;0;0;0;20190515
7439;zoeschocolate.com;0;0;162932;815;6939;0;0;0;20190415
7460;zoeschocolate.com;0;0;164073;852;7062;0;0;0;20190315
7307;zoeschocolate.com;0;0;165127;853;6876;0;0;0;20190215
7225;zoeschocolate.com;0;0;166915;740;6771;0;0;0;20190115
7347;zoeschocolate.com;0;0;165019;534;6773;0;0;0;20181215
7332;zoeschocolate.com;0;0;165208;414;6827;0;0;0;20181115
7374;zoeschocolate.com;0;0;165214;387;6879;0;0;0;20181015
4492;zoeschocolate.com;0;0;240005;434;3073;0;0;0;20180915
7472;zoeschocolate.com;0;0;164878;623;6987;0;0;0;20180815
7452;zoeschocolate.com;0;0;165349;913;7048;0;0;0;20180715
7371;zoeschocolate.com;0;0;166453;835;6924;0;0;0;20180615
7650;zoeschocolate.com;0;0;160573;850;7335;0;0;0;20180515
7603;zoeschocolate.com;0;0;159945;943;7199;0;0;0;20180415
7613;zoeschocolate.com;0;0;160320;911;7214;0;0;0;20180315
8127;zoeschocolate.com;0;0;157288;1223;8265;0;0;0;20180215
6521;zoeschocolate.com;0;0;182727;1118;7224;0;0;0;20180115
497;zoeschocolate.com;0;0;1055491;1106;1179;0;0;0;20171215
511;zoeschocolate.com;0;0;1029475;1109;1254;0;0;0;20171115
2535;zoeschocolate.com;0;0;335237;1075;9459;0;0;0;20171015
1468;zoeschocolate.com;0;0;495607;1034;5574;0;0;0;20170915
106;zoeschocolate.com;0;0;2593839;1088;241;0;0;0;20170815
898;zoeschocolate.com;0;0;677594;1064;2178;0;0;0;20170715
69;zoeschocolate.com;0;0;3276414;932;84;0;0;0;20170615
89;zoeschocolate.com;0;0;2995443;829;220;0;0;0;20170515
133;zoeschocolate.com;0;0;2515903;794;361;0;0;0;20170415
161;zoeschocolate.com;0;0;2154539;731;332;0;0;0;20170315
416;zoeschocolate.com;0;0;1275142;669;1147;0;0;0;20170215
109;zoeschocolate.com;0;0;2759502;728;69;0;0;0;20170115
78;zoeschocolate.com;0;0;3248628;565;185;0;0;0;20161215
40;zoeschocolate.com;0;0;3236270;419;47;0;0;0;20161115
41;zoeschocolate.com;0;0;3038490;418;33;0;0;0;20161015
45;zoeschocolate.com;0;0;2911897;442;68;0;0;0;20160915
49;zoeschocolate.com;0;0;2848885;485;40;0;0;0;20160815
83;zoeschocolate.com;0;0;2226546;481;137;0;0;0;20160715
58;zoeschocolate.com;0;0;2659863;476;62;0;0;0;20160615
362;zoeschocolate.com;0;0;1030561;450;623;0;0;0;20160515
15;zoeschocolate.com;0;0;4479558;415;25;0;0;0;20160415
18;zoeschocolate.com;0;0;4112263;420;38;0;0;0;20160315
34;zoeschocolate.com;0;0;3219975;423;20;0;0;0;20160215
34;zoeschocolate.com;0;0;3221010;477;48;0;0;0;20160115
27;zoeschocolate.com;0;0;3594603;579;28;0;0;0;20151215
58;zoeschocolate.com;0;0;2716889;535;40;0;0;0;20151115
99;zoeschocolate.com;0;0;2028301;547;36;0;0;0;20151015
25;zoeschocolate.com;0;0;3435956;20;7;0;0;0;20150915
30;zoeschocolate.com;0;0;3258231;21;5;0;0;0;20150815
17;zoeschocolate.com;0;0;3996127;17;18;0;0;0;20150715
19;zoeschocolate.com;12;36;3838314;15;32;36;12;21;20150615
3;zoeschocolate.com;33;69;5907514;10;3;69;33;14;20150515
20;zoeschocolate.com;9;42;3526853;17;22;42;9;58;20150415
6;zoeschocolate.com;0;10;4964902;16;10;10;0;4;20150315
83;zoeschocolate.com;0;1;1910669;19;130;1;0;0;20150215
742;zoeschocolate.com;1;7;529629;17;1191;7;1;2;20150115
137;zoeschocolate.com;0;0;1496289;19;80;0;0;0;20141215
59;zoeschocolate.com;0;0;2334782;18;26;0;0;0;20141115
518;zoeschocolate.com;0;0;731052;44;43;0;0;0;20141015
75;zoeschocolate.com;0;0;2223010;33;58;0;0;0;20140915
166;zoeschocolate.com;0;0;1474795;30;35;0;0;0;20140815
350;zoeschocolate.com;0;0;730534;35;44;0;0;0;20140715
659;zoeschocolate.com;0;0;492384;38;508;0;0;0;20140615
429;zoeschocolate.com;0;0;640029;32;179;0;0;0;20140515
312;zoeschocolate.com;0;0;777953;24;183;0;0;0;20140415
89;zoeschocolate.com;0;0;1520479;21;14;0;0;0;20140315
42;zoeschocolate.com;0;0;2074719;23;15;0;0;0;20140215
143;zoeschocolate.com;0;0;1179166;51;35;0;0;0;20140115
