Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
7509;zuckersbagels.com;0;0;227476;771;10400;0;0;0;20210615
7461;zuckersbagels.com;0;0;227920;810;9911;0;0;0;20210515
6620;zuckersbagels.com;0;0;245643;626;8668;0;0;0;20210415
7170;zuckersbagels.com;0;0;226216;698;11997;0;0;0;20210315
6616;zuckersbagels.com;0;0;240790;689;10265;0;0;0;20210215
7003;zuckersbagels.com;0;0;228456;782;8383;0;0;0;20210115
7447;zuckersbagels.com;782;4;214820;742;11977;4;782;381;20201215
8319;zuckersbagels.com;189;8;194373;802;11864;8;189;441;20201115
9921;zuckersbagels.com;0;0;167535;997;16920;0;0;0;20201015
8371;zuckersbagels.com;0;0;189751;1149;12540;0;0;0;20200915
9818;zuckersbagels.com;0;0;166765;1119;18541;0;0;0;20200815
7776;zuckersbagels.com;0;0;195194;901;12925;0;0;0;20200715
7391;zuckersbagels.com;0;0;202935;1016;11553;0;0;0;20200615
7695;zuckersbagels.com;0;0;195272;1114;13973;0;0;0;20200515
7766;zuckersbagels.com;0;0;194143;1285;14311;0;0;0;20200415
23017;zuckersbagels.com;0;0;81945;1091;78661;0;0;0;20200315
8527;zuckersbagels.com;0;0;178432;987;19897;0;0;0;20200215
9151;zuckersbagels.com;0;0;166543;870;17732;0;0;0;20200115
9352;zuckersbagels.com;0;0;163427;768;18884;0;0;0;20191215
8443;zuckersbagels.com;0;0;171871;898;22337;0;0;0;20191115
7859;zuckersbagels.com;0;0;176905;917;34954;0;0;0;20191015
6491;zuckersbagels.com;0;0;201162;822;30913;0;0;0;20190915
5786;zuckersbagels.com;0;0;218635;741;27908;0;0;0;20190815
4294;zuckersbagels.com;0;0;278401;461;18687;0;0;0;20190715
430;zuckersbagels.com;0;0;1397158;30;1988;0;0;0;20190615
2774;zuckersbagels.com;0;0;342335;395;6783;0;0;0;20190515
2670;zuckersbagels.com;0;0;350558;351;6679;0;0;0;20190415
2695;zuckersbagels.com;0;0;352425;362;6748;0;0;0;20190315
3224;zuckersbagels.com;0;0;306454;415;7960;0;0;0;20190215
2707;zuckersbagels.com;0;0;349781;435;6750;0;0;0;20190115
2790;zuckersbagels.com;0;0;342896;833;6879;0;0;0;20181215
2932;zuckersbagels.com;0;0;330976;556;7168;0;0;0;20181115
3152;zuckersbagels.com;0;0;315751;573;7555;0;0;0;20181015
6998;zuckersbagels.com;0;0;170138;488;16524;0;0;0;20180915
3730;zuckersbagels.com;0;0;281810;466;8877;0;0;0;20180815
2817;zuckersbagels.com;0;0;350825;503;6766;0;0;0;20180715
2891;zuckersbagels.com;0;0;342582;586;6794;0;0;0;20180615
2875;zuckersbagels.com;0;0;342676;596;6782;0;0;0;20180515
3089;zuckersbagels.com;0;0;321833;1277;7545;0;0;0;20180415
3320;zuckersbagels.com;0;0;305912;2086;8036;0;0;0;20180315
2916;zuckersbagels.com;0;0;345071;1931;6628;0;0;0;20180215
2065;zuckersbagels.com;0;0;426928;1091;4904;0;0;0;20180115
741;zuckersbagels.com;0;0;802535;711;725;0;0;0;20171215
1039;zuckersbagels.com;0;0;628057;703;1488;0;0;0;20171115
559;zuckersbagels.com;0;0;967550;611;43;0;0;0;20171015
618;zuckersbagels.com;0;0;909600;619;138;0;0;0;20170915
747;zuckersbagels.com;0;0;809686;605;175;0;0;0;20170815
612;zuckersbagels.com;0;0;893153;581;52;0;0;0;20170715
680;zuckersbagels.com;0;0;881419;625;88;0;0;0;20170615
701;zuckersbagels.com;0;0;928376;715;91;0;0;0;20170515
842;zuckersbagels.com;0;0;858553;735;648;0;0;0;20170415
913;zuckersbagels.com;0;0;736096;677;540;0;0;0;20170315
773;zuckersbagels.com;0;0;840012;641;132;0;0;0;20170215
835;zuckersbagels.com;0;0;805914;596;497;0;0;0;20170115
651;zuckersbagels.com;0;0;956131;503;99;0;0;0;20161215
256;zuckersbagels.com;0;0;1293950;375;107;0;0;0;20161115
329;zuckersbagels.com;0;0;1077639;404;66;0;0;0;20161015
343;zuckersbagels.com;0;0;1051280;374;178;0;0;0;20160915
334;zuckersbagels.com;0;0;1079113;361;69;0;0;0;20160815
337;zuckersbagels.com;0;0;1070705;355;62;0;0;0;20160715
308;zuckersbagels.com;0;0;1136073;339;61;0;0;0;20160615
336;zuckersbagels.com;0;0;1078561;335;57;0;0;0;20160515
261;zuckersbagels.com;0;0;1211122;346;1087;0;0;0;20160415
268;zuckersbagels.com;0;0;1179900;352;1088;0;0;0;20160315
273;zuckersbagels.com;0;0;1160984;361;1092;0;0;0;20160215
266;zuckersbagels.com;0;0;1176013;360;1082;0;0;0;20160115
254;zuckersbagels.com;0;0;1220206;409;1083;0;0;0;20151215
221;zuckersbagels.com;0;0;1366872;426;664;0;0;0;20151115
210;zuckersbagels.com;0;0;1359303;468;64;0;0;0;20151015
173;zuckersbagels.com;0;0;1423039;36;53;0;0;0;20150915
176;zuckersbagels.com;0;0;1421934;45;74;0;0;0;20150815
166;zuckersbagels.com;0;0;1464574;42;45;0;0;0;20150715
182;zuckersbagels.com;0;0;1384931;58;111;0;0;0;20150615
216;zuckersbagels.com;0;0;1189314;46;135;0;0;0;20150515
198;zuckersbagels.com;0;0;1226622;49;60;0;0;0;20150415
215;zuckersbagels.com;0;0;1150056;50;94;0;0;0;20150315
237;zuckersbagels.com;0;0;1094533;46;91;0;0;0;20150215
242;zuckersbagels.com;0;0;1085668;52;128;0;0;0;20150115
218;zuckersbagels.com;0;0;1154389;44;100;0;0;0;20141215
318;zuckersbagels.com;0;0;977653;51;139;0;0;0;20141115
692;zuckersbagels.com;0;0;602421;45;59;0;0;0;20141015
720;zuckersbagels.com;0;0;591365;53;75;0;0;0;20140915
617;zuckersbagels.com;0;0;659815;32;54;0;0;0;20140815
56;zuckersbagels.com;0;0;1852003;29;24;0;0;0;20140715
84;zuckersbagels.com;0;0;1544402;25;55;0;0;0;20140615
