Organic Traffic;Domain;Adwords Traffic;Adwords Keywords;Rank;Organic Keywords;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost;Date
13104;zupans.com;0;0;148568;6513;26928;0;0;0;20210615
10569;zupans.com;0;0;174338;6671;17323;0;0;0;20210515
11000;zupans.com;0;0;166205;6528;9964;0;0;0;20210415
12617;zupans.com;0;0;146249;6236;5254;0;0;0;20210315
12407;zupans.com;0;0;145414;6236;4547;0;0;0;20210215
12542;zupans.com;0;0;143259;6182;12366;0;0;0;20210115
11175;zupans.com;0;0;155217;5717;87367;0;0;0;20201215
10091;zupans.com;0;0;166453;4481;7248;0;0;0;20201115
9292;zupans.com;0;0;176622;4194;5100;0;0;0;20201015
9361;zupans.com;0;0;173697;3787;4482;0;0;0;20200915
9503;zupans.com;0;0;171165;3923;6483;0;0;0;20200815
8253;zupans.com;0;0;186247;3856;5869;0;0;0;20200715
8495;zupans.com;0;0;181985;3771;6083;0;0;0;20200615
8560;zupans.com;0;0;179712;4276;19357;0;0;0;20200515
8485;zupans.com;0;0;181094;5131;4537;0;0;0;20200415
7555;zupans.com;0;0;197702;5002;8039;0;0;0;20200315
8120;zupans.com;0;1;185204;4823;71014;1;0;1;20200215
7430;zupans.com;0;0;195668;4863;15116;0;0;0;20200115
7353;zupans.com;0;0;197175;4970;17110;0;0;0;20191215
7787;zupans.com;0;0;182944;5063;17562;0;0;0;20191115
7220;zupans.com;0;0;188881;4831;18432;0;0;0;20191015
7170;zupans.com;0;0;186281;5434;16363;0;0;0;20190915
7071;zupans.com;0;0;187468;5634;17821;0;0;0;20190815
6771;zupans.com;0;0;196382;5888;15924;0;0;0;20190715
7887;zupans.com;0;0;174145;5451;24402;0;0;0;20190615
8600;zupans.com;0;0;146159;5866;9172;0;0;0;20190515
7988;zupans.com;0;0;154340;5672;3551;0;0;0;20190415
7439;zupans.com;0;0;164459;4629;3484;0;0;0;20190315
7046;zupans.com;0;0;169858;3535;1190;0;0;0;20190215
7028;zupans.com;0;0;170573;3456;799;0;0;0;20190115
7034;zupans.com;0;0;170653;3191;1027;0;0;0;20181215
6645;zupans.com;0;0;178239;2952;871;0;0;0;20181115
6831;zupans.com;0;0;175389;2721;830;0;0;0;20181015
6867;zupans.com;0;0;172716;3050;1176;0;0;0;20180915
6946;zupans.com;0;0;174684;3119;1236;0;0;0;20180815
7733;zupans.com;0;0;160605;3492;2355;0;0;0;20180715
7293;zupans.com;0;0;167817;3521;2713;0;0;0;20180615
5715;zupans.com;0;0;202103;3609;1357;0;0;0;20180515
5672;zupans.com;0;0;201408;3435;1221;0;0;0;20180415
5681;zupans.com;0;0;201872;3371;1064;0;0;0;20180315
7807;zupans.com;0;0;162417;4007;1310;0;0;0;20180215
5870;zupans.com;0;0;198093;3837;1108;0;0;0;20180115
3735;zupans.com;0;0;250609;3608;886;0;0;0;20171215
3794;zupans.com;0;0;248601;3326;930;0;0;0;20171115
3703;zupans.com;0;0;254008;3074;869;0;0;0;20171015
3797;zupans.com;0;0;250274;2901;843;0;0;0;20170915
4065;zupans.com;0;0;240468;3317;2062;0;0;0;20170815
3801;zupans.com;0;0;233004;3173;1029;0;0;0;20170715
3779;zupans.com;0;0;259604;2623;1016;0;0;0;20170615
3813;zupans.com;0;0;283326;3267;1071;0;0;0;20170515
4056;zupans.com;0;0;300230;3522;1125;0;0;0;20170415
3933;zupans.com;0;0;257576;3665;850;0;0;0;20170315
4047;zupans.com;0;0;253096;3270;975;0;0;0;20170215
4114;zupans.com;0;0;250196;3021;1041;0;0;0;20170115
3801;zupans.com;0;0;262391;2015;1165;0;0;0;20161215
2287;zupans.com;0;0;300076;1430;320;0;0;0;20161115
2428;zupans.com;0;0;286100;1286;589;0;0;0;20161015
2354;zupans.com;0;0;291110;1332;594;0;0;0;20160915
2343;zupans.com;0;0;294462;1293;661;0;0;0;20160815
2278;zupans.com;0;0;299470;1266;602;0;0;0;20160715
2395;zupans.com;0;0;289083;1191;924;0;0;0;20160615
2236;zupans.com;0;0;302882;1148;383;0;0;0;20160515
1958;zupans.com;0;0;326200;1148;263;0;0;0;20160415
1949;zupans.com;0;0;319673;1161;235;0;0;0;20160315
1945;zupans.com;0;0;319072;1173;227;0;0;0;20160215
1938;zupans.com;0;0;319170;1215;236;0;0;0;20160115
1976;zupans.com;0;0;316173;1469;232;0;0;0;20151215
1436;zupans.com;0;0;402458;1530;367;0;0;0;20151115
1406;zupans.com;0;0;391406;1674;406;0;0;0;20151015
1445;zupans.com;0;0;365415;106;345;0;0;0;20150915
1612;zupans.com;0;0;341007;101;468;0;0;0;20150815
1428;zupans.com;0;0;368819;106;307;0;0;0;20150715
1289;zupans.com;0;0;392014;99;192;0;0;0;20150615
1385;zupans.com;0;0;349856;95;162;0;0;0;20150515
1306;zupans.com;0;0;361272;82;188;0;0;0;20150415
1265;zupans.com;0;0;361867;91;212;0;0;0;20150315
1336;zupans.com;0;0;350412;91;307;0;0;0;20150215
1316;zupans.com;0;0;352455;95;200;0;0;0;20150115
1362;zupans.com;0;0;342442;95;286;0;0;0;20141215
2088;zupans.com;0;0;273118;102;300;0;0;0;20141115
1288;zupans.com;0;0;388263;84;291;0;0;0;20141015
1272;zupans.com;0;0;395001;87;265;0;0;0;20140915
1304;zupans.com;0;0;390419;87;265;0;0;0;20140815
82;zupans.com;0;0;1560480;72;161;0;0;0;20140715
70;zupans.com;0;0;1678763;60;154;0;0;0;20140615
57;zupans.com;0;0;1858409;59;101;0;0;0;20140515
54;zupans.com;0;0;1910329;52;88;0;0;0;20140415
52;zupans.com;0;0;1939156;60;86;0;0;0;20140315
110;zupans.com;0;0;1326845;67;214;0;0;0;20140215
62;zupans.com;0;0;1766028;61;143;0;0;0;20140115
78;zupans.com;0;0;1573917;61;145;0;0;0;20131215
283;zupans.com;0;0;731176;59;332;0;0;0;20131115
